#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,5.8945927,4.55e-06,4.96e-06,5
0,5.9137577,4.53e-06,0,5
0,5.9329227,9.05e-06,0,5
0,5.9466119,4.51e-06,0,5
0,5.9548255,0,4.90e-06,5
0,5.963039,8.99e-06,0,5
0,5.9685147,.0000135,0,5
0,5.9794661,0,4.89e-06,5
0,5.9904175,4.49e-06,0,5
0,5.9986311,0,4.89e-06,5
0,6.0205339,0,.0000147,6
0,6.0287474,4.39e-06,0,6
0,6.0314853,4.39e-06,0,6
0,6.0451745,4.38e-06,0,6
0,6.0479124,4.37e-06,0,6
0,6.0533881,0,4.76e-06,6
0,6.0588638,4.37e-06,0,6
0,6.072553,8.73e-06,0,6
0,6.0752909,4.37e-06,0,6
0,6.0807666,0,9.50e-06,6
0,6.091718,0,4.74e-06,6
0,6.1026694,4.34e-06,0,6
0,6.1327858,4.33e-06,0,6
0,6.1355236,4.32e-06,0,6
0,6.1382615,4.32e-06,0,6
0,6.1409993,0,4.70e-06,6
0,6.1519507,4.32e-06,0,6
0,6.1683778,4.31e-06,0,6
0,6.1738535,0,4.68e-06,6
0,6.1793292,4.30e-06,0,6
0,6.1902806,4.29e-06,0,6
0,6.1930185,0,4.67e-06,6
0,6.2067077,0,4.66e-06,6
0,6.2094456,4.29e-06,0,6
0,6.2258727,0,4.64e-06,6
0,6.2505133,8.50e-06,0,6
0,6.2587269,8.49e-06,0,6
0,6.2614648,4.25e-06,0,6
0,6.2806297,0,4.61e-06,6
0,6.2997947,4.23e-06,0,6
0,6.3162218,4.23e-06,0,6
0,6.3353867,0,4.58e-06,6
0,6.3408624,8.43e-06,0,6
0,6.3737166,4.36e-06,0,6
0,6.3956194,8.70e-06,0,6
0,6.4010951,0,9.46e-06,6
0,6.4284736,4.34e-06,0,6
0,6.4394251,4.34e-06,0,6
0,6.4476386,4.34e-06,0,6
0,6.4503765,4.34e-06,0,6
0,6.45859,0,9.41e-06,6
0,6.4613279,.000013,0,6
0,6.4722793,4.33e-06,0,6
0,6.4887064,4.33e-06,4.70e-06,6
0,6.4941821,4.33e-06,0,6
0,6.5078713,4.33e-06,0,6
0,6.5106092,4.32e-06,0,6
0,6.5215606,0,4.68e-06,6
0,6.5407255,8.60e-06,0,6
0,6.5434634,4.30e-06,0,6
0,6.5462012,0,4.67e-06,6
0,6.5516769,4.30e-06,4.66e-06,6
0,6.5571526,4.30e-06,0,6
0,6.5708419,4.30e-06,0,6
0,6.5763176,4.30e-06,0,6
0,6.5790554,4.30e-06,0,6
0,6.5817933,4.30e-06,0,6
0,6.5845311,0,9.32e-06,6
0,6.5900068,0,9.31e-06,6
0,6.5982204,4.29e-06,0,6
0,6.6009582,4.29e-06,0,6
0,6.6036961,4.29e-06,0,6
0,6.6119097,4.28e-06,0,6
0,6.6173854,8.56e-06,0,6
0,6.6201232,4.28e-06,0,6
0,6.6283368,0,4.64e-06,6
0,6.6338125,4.28e-06,0,6
0,6.6365503,0,4.64e-06,6
0,6.6502396,0,4.63e-06,6
0,6.6529774,4.27e-06,0,6
0,6.6584531,4.27e-06,0,6
0,6.6666667,0,4.62e-06,6
0,6.696783,4.26e-06,0,6
0,6.7049966,4.26e-06,0,6
